Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Boston Celtics*,28.2,64,18,66,16,11.34,-0.6,10.75,123.2,111.6,11.6,97.2,0.224,0.471,0.609,,Celtics,,,, Nets,,,,Raptors,,,,76ers,,,,Knicks,,,,Bulls,,,,Cavaliers,,,,Pistons,,,,Pacers,,,,Bucks,,,,Wizards,,,,Hawks,,,,Magic,,,,Heat,,,,Hornets,,,,Timberwolves,,,,Thunder,,,,Nuggets,,,,Trail Blazers,,,,Jazz,,,,Lakers,,,,,,,,Warriors,,,,Suns,,,,Kings,,,,Grizzlies,,,,Pelicans,,,,Rockets,,,,Spurs,,,,Mavericks,,
2,Oklahoma City Thunder*,23.4,57,25,58,24,7.41,-0.05,7.36,119.5,112.1,7.4,99.8,0.24,0.383,0.608,,Rk,Celtics,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary
3,Minnesota Timberwolves*,27.2,56,26,57,25,6.45,-0.07,6.39,115.6,109,6.6,97.1,0.27,0.384,0.594,,1,Jrue Holiday,36861707.00,,1.00,Ben Simmons,37893408.00,,1.00,RJ Barrett,23883929.00,,1.00,Joel Embiid,47607350.00,,1.00,Julius Randle,28226880.00,,1.00,Zach LaVine,40064220.00,,1.00,Darius Garland,34005250.00,,1.00,Joe Harris,19928571.00,,1.00,Pascal Siakam,37893408.00,,1.00,Giannis Antetokounmpo,45640084.00,,1,Jordan Poole,27455357.00,,1.00,Trae Young,40064220.00,,1,Jonathan Isaac,17400000.00,,1,Jimmy Butler,45183960.00,,1,Jimmy Butler,45183960.00,,1,Rudy Gobert,41000000.00,,1,Shai Gilgeous-Alexander,33386850.00,,1,Nikola Jokić,47607350.00,,1,Deandre Ayton,32459438.00,,1,John Collins,25340000.00,,1,LeBron James,47607350.00,,1,Kawhi Leonard,45640084.00,,1,Stephen Curry,51915615.00,,1,Kevin Durant,47649433.00,,1,De'Aaron Fox,32600060.00,,1,Ja Morant,34005250.00,,1,CJ McCollum,35802469.00,,1,Fred VanVleet,40806300.00,,1,Keldon Johnson,20000000.00,,1,Luka Dončić,40064220.00
4,Denver Nuggets*,27.1,57,25,54,28,5.26,-0.03,5.23,118.5,113,5.5,96.8,0.224,0.352,0.589,,2,Kristaps Porziņģis,36016200.00,,2.00,Cameron Johnson,25679348.00,,2.00,Bruce Brown,22000000.00,,2.00,Tobias Harris,39270150.00,,2.00,Jalen Brunson,26346666.00,,2.00,DeMar DeRozan,28600000.00,,2.00,Donovan Mitchell,33162030.00,,2.00,Evan Fournier,18857143.00,,2.00,Myles Turner,20975000.00,,2.00,Damian Lillard,45640084.00,,2,Kyle Kuzma,25568182.00,,2.00,Clint Capela,20616000.00,,2,Markelle Fultz,17000000.00,,2,Bam Adebayo,32600060.00,,2,Bam Adebayo,32600060.00,,2,Karl-Anthony Towns,36016200.00,,2,Gordon Hayward,33319397.00,,2,Jamal Murray,33833400.00,,2,Jerami Grant,27586207.00,,2,Jordan Clarkson,23487629.00,,2,Anthony Davis,40600080.00,,2,Paul George,45640084.00,,2,Klay Thompson,43219440.00,,2,Bradley Beal,46741590.00,,2,Domantas Sabonis,30600000.00,,2,Jaren Jackson,27102202.00,,2,Zion Williamson,34005250.00,,2,Dillon Brooks,22627671.00,,2,Marcus Morris,17116279.00,,2,Kyrie Irving,37037037.00
5,New York Knicks*,26.4,50,32,53,29,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,,3,Jayson Tatum,32600060.00,,3.00,Mikal Bridges,21700000.00,,3.00,Spencer Dinwiddie,20357143.00,,3.00,Buddy Hield,19845098.00,,3.00,Bojan Bogdanović,20000000.00,,3.00,Lonzo Ball,20465117.00,,3.00,Jarrett Allen,20000000.00,,3.00,James Wiseman,12119440.00,,3.00,Doug McDermott,13750000.00,,3.00,Khris Middleton,29320988.00,,3,Tyus Jones,14000000.00,,3.00,De'Andre Hunter,20089286.00,,3,Wendell Carter,13050000.00,,3,Tyler Herro,27000000.00,,3,Tyler Herro,27000000.00,,3,Mike Conley,24360000.00,,3,Kevin Porter,15860000.00,,3,Michael Porter,33386850.00,,3,Anfernee Simons,24107143.00,,3,Collin Sexton,17325000.00,,3,D'Angelo Russell,17307693.00,,3,James Harden,35680595.00,,3,Chris Paul,30800000.00,,3,Devin Booker,36016200.00,,3,Harrison Barnes,17000000.00,,3,Marcus Smart,18833713.00,,3,Brandon Ingram,33833400.00,,3,Steven Adams,12600000.00,,3,Victor Wembanyama,12160680.00,,3,Tim Hardaway,17897728.00
6,New Orleans Pelicans*,26,49,33,52,30,4.41,0.05,4.46,117.4,112.9,4.5,97.9,0.261,0.373,0.591,,4,Jaylen Brown,31830357.00,,4.00,Dorian Finney-Smith,13932008.00,,4.00,Jakob Poeltl,19500000.00,,4.00,Nicolas Batum,11710818.00,,4.00,OG Anunoby,18642857.00,,4.00,Nikola Vučević,18518519.00,,4.00,Caris LeVert,15384616.00,,4.00,Cade Cunningham,11055360.00,,4.00,T.J. McConnell,8700000.00,,4.00,Brook Lopez,25000000.00,,4,Marvin Bagley,12500000.00,,4.00,Bogdan Bogdanović,18700000.00,,4,Gary Harris,13000000.00,,4,Terry Rozier,23205221.00,,4,Terry Rozier,23205221.00,,4,Anthony Edwards,13534817.00,,4,Luguentz Dort,15277778.00,,4,Aaron Gordon,22266182.00,,4,Malcolm Brogdon,22500000.00,,4,Lauri Markkanen,17259999.00,,4,Rui Hachimura,15740741.00,,4,Norman Powell,18000000.00,,4,Andrew Wiggins,24330357.00,,4,Jusuf Nurkić,16875000.00,,4,Kevin Huerter,15669643.00,,4,Luke Kennard,14763636.00,,4,Jonas Valančiūnas,15435000.00,,4,Jalen Green,9891480.00,,4,Devonte' Graham,12100000.00,,4,P.J. Washington,16847826.00
7,Los Angeles Clippers*,30.4,51,31,49,33,3.28,0.13,3.41,118.8,115.4,3.4,97.2,0.256,0.383,0.599,,5,Derrick White,18357143.00,,5.00,Dennis Schröder,12405000.00,,5.00,Gary Trent,18560000.00,,5.00,Robert Covington,11692308.00,,5.00,Mitchell Robinson,15681818.00,,5.00,Coby White,11111111.00,,5.00,Max Strus,14487684.00,,5.00,Ausar Thompson,7977480.00,,5.00,Daniel Theis,6928876.00,,5.00,Bobby Portis,11710818.00,,5,Richaun Holmes,12046020.00,,5.00,Dejounte Murray,18214000.00,,5,Paolo Banchero,11608080.00,,5,Duncan Robinson,18154000.00,,5,Duncan Robinson,18154000.00,,5,Naz Reid,12950400.00,,5,Chet Holmgren,10386000.00,,5,Kentavious Caldwell-Pope,14704938.00,,5,Robert Williams,11571429.00,,5,Talen Horton-Tucker,11020000.00,,5,Austin Reaves,12015150.00,,5,P.J. Tucker,11014500.00,,5,Draymond Green,22321429.00,,5,Royce O'Neale,9500000.00,,5,Malik Monk,9945830.00,,5,Brandon Clarke,12500000.00,,5,Herbert Jones,12015150.00,,5,Jeff Green,9600000.00,,5,Reggie Bullock,11014080.00,,5,Daniel Gafford,12402000.00
8,Philadelphia 76ers*,28.4,47,35,49,33,3.05,-0.54,2.51,116.9,113.8,3.1,97.5,0.264,0.373,0.574,,6,Al Horford,10000000.00,,6.00,Nic Claxton,9625000.00,,6.00,Kelly Olynyk,12195122.00,,6.00,De'Anthony Melton,8000000.00,,6.00,Josh Hart,12960000.00,,6.00,Patrick Williams,9835881.00,,6.00,Isaac Okoro,8920795.00,,6.00,Jaden Ivey,7614480.00,,6.00,Bennedict Mathurin,6916080.00,,6.00,Pat Connaughton,9423869.00,,6,Landry Shamet,10250000.00,,6.00,Onyeka Okongwu,8109063.00,,6,Joe Ingles,11000000.00,,6,Caleb Martin,6802950.00,,6,Caleb Martin,6802950.00,,6,Monte Morris,9800926.00,,6,Josh Giddey,6587040.00,,6,Reggie Jackson,5000000.00,,6,Matisse Thybulle,10500000.00,,6,Otto Porter,6300000.00,,6,Gabe Vincent,10500000.00,,6,Ivica Zubac,10933333.00,,6,Gary Payton,8715000.00,,6,Grayson Allen,8925000.00,,6,Keegan Murray,8409000.00,,6,Victor Oladipo,9450000.00,,6,Larry Nance,10375000.00,,6,Jabari Smith,9326520.00,,6,Tre Jones,9895833.00,,6,Maxi Kleber,11000000.00
9,Phoenix Suns*,29.3,49,33,49,33,3.06,0.02,3.08,117.6,114.6,3,98.3,0.271,0.378,0.603,,7,Payton Pritchard,4037277.00,,7.00,Thaddeus Young,8000000.00,,7.00,Chris Boucher,11750000.00,,7.00,Paul Reed,7723000.00,,7.00,Donte DiVincenzo,10900000.00,,7.00,Alex Caruso,9460000.00,,7.00,Evan Mobley,8882640.00,,7.00,Killian Hayes,7413955.00,,7.00,Obi Toppin,6803012.00,,7.00,MarJon Beauchamp,2609400.00,,7,Delon Wright,8195122.00,,7.00,Patty Mills,6802950.00,,7,Moritz Wagner,8000000.00,,7,Kevin Love,3835738.00,,7,Kevin Love,3835738.00,,7,Kyle Anderson,9219512.00,,7,Rudy Gay,6479000.00,,7,Zeke Nnaji,4306281.00,,7,Scoot Henderson,9770880.00,,7,Kira Lewis,5722116.00,,7,Jarred Vanderbilt,4698000.00,,7,Terance Mann,10576923.00,,7,Kevon Looney,7500000.00,,7,Nassir Little,6250000.00,,7,Trey Lyles,8000000.00,,7,Bismack Biyombo,5000000.00,,7,Dyson Daniels,5784120.00,,7,Amen Thompson,8809320.00,,7,Zach Collins,7700000.00,,7,Dereck Lively,4775640.00
10,Indiana Pacers*,25.3,47,35,48,34,3.05,-0.3,2.75,121,118,3,101.7,0.222,0.38,0.606,,8,Luke Kornet,2413304.00,,8.00,Noah Clowney,3089520.00,,8.00,Scottie Barnes,8008680.00,,8.00,Tyrese Maxey,4343920.00,,8.00,Alec Burks,10489600.00,,8.00,Ayo Dosunmu,6481482.00,,8.00,Georges Niang,8800000.00,,8.00,Danilo Gallinari,6802950.00,,8.00,Jarace Walker,6059520.00,,8.00,Malik Beasley,2019706.00,,8,Bilal Coulibaly,6614280.00,,8.00,Saddiq Bey,4556983.00,,8,Jalen Suggs,7252080.00,,8,Jaime Jaquez,3510600.00,,8,Jaime Jaquez,3510600.00,,8,Nickeil Alexander-Walker,4687500.00,,8,Kenrich Williams,6175000.00,,8,Christian Braun,2949120.00,,8,Shaedon Sharpe,6313800.00,,8,Taylor Hendricks,5569920.00,,8,Taurean Prince,4516000.00,,8,Mason Plumlee,5000000.00,,8,Jonathan Kuminga,6012840.00,,8,Eric Gordon,3196448.00,,8,Aleksandar Vezenkov,6341464.00,,8,Ziaire Williams,4810200.00,,8,Jordan Hawkins,4310160.00,,8,Jock Landale,8000000.00,,8,Khem Birch,6985000.00,,8,Josh Green,4765339.00
11,Golden State Warriors,28.4,46,36,47,35,2.61,0.16,2.77,117.8,115.2,2.6,99.2,0.219,0.425,0.586,,9,Jaden Springer,2226240.00,,9.00,Dariq Miller-Whitehead,2966040.00,,9.00,Gradey Dick,4536720.00,,9.00,Kyle Lowry,2795839.00,,9.00,Isaiah Hartenstein,9245121.00,,9.00,Jevon Carter,6190476.00,,9.00,Dean Wade,5709877.00,,9.00,Isaiah Stewart,5266713.00,,9.00,Tyrese Haliburton,5808435.00,,9.00,Thanasis Antetokounmpo,2019706.00,,9,Deni Avdija,6263188.00,,9.00,Kobe Bufkin,4094280.00,,9,Anthony Black,7245480.00,,9,Josh Richardson,2891467.00,,9,Josh Richardson,2891467.00,,9,Jaden McDaniels,3901399.00,,9,Cason Wallace,5291400.00,,9,Julian Strawther,2431080.00,,9,Kris Murray,2847480.00,,9,Keyonte George,3889800.00,,9,Jalen Hood-Schifino,3695040.00,,9,Russell Westbrook,3835738.00,,9,Moses Moody,3918480.00,,9,Josh Okogie,2815937.00,,9,Davion Mitchell,5063640.00,,9,Desmond Bane,3845083.00,,9,Trey Murphy,3359280.00,,9,John Wall,6802950.00,,9,Cedi Osman,6718842.00,,9,Dwight Powell,4000000.00
12,Milwaukee Bucks*,30.2,49,33,47,35,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,,10,Oshae Brissett,2165000.00,,10.00,Keita Bates-Diop,2346614.00,,10.00,Jalen McDaniels,4516000.00,,10.00,Jeff Dowtin,2196970.00,,10.00,Precious Achiuwa,4379527.00,,10.00,Derrick Jones,3360000.00,,10.00,Ricky Rubio,3695311.00,,10.00,Shake Milton,5000000.00,,10.00,Aaron Nesmith,5634257.00,,10.00,Jae Crowder,2019706.00,,10,Johnny Davis,5050800.00,,10.00,AJ Griffin,3712920.00,,10,Cole Anthony,5539771.00,,10,Thomas Bryant,2528233.00,,10,Thomas Bryant,2528233.00,,10,Wendell Moore,2421720.00,,10,Aleksej Pokusevski,5009633.00,,10,Peyton Watson,2303520.00,,10,Andrew Nicholson,2844430.00,,10,Walker Kessler,2831160.00,,10,Christian Wood,2709849.00,,10,Amir Coffey,3666667.00,,10,Brandin Podziemski,3352440.00,,10,Keon Johnson,2808720.00,,10,Chris Duarte,4124400.00,,10,Jake LaRavia,3199920.00,,10,Cody Zeller,2019706.00,,10,Jae'Sean Tate,6500000.00,,10,Cameron Payne,6500000.00,,10,Dante Exum,3000000.00
13,Cleveland Cavaliers*,26.2,48,34,47,35,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,,11,Svi Mykhailiuk,2019706.00,,11.00,Cam Thomas,2240160.00,,11.00,Immanuel Quickley,4171548.00,,11.00,Mohamed Bamba,2019706.00,,11.00,Dylan Windler,2019706.00,,11.00,Andre Drummond,3360000.00,,11.00,Damian Jones,2586665.00,,11.00,Jalen Duren,4330680.00,,11.00,Furkan Korkmaz,5370370.00,,11.00,Patrick Beverley,2019706.00,,11,Corey Kispert,3722040.00,,11.00,Jalen Johnson,2925360.00,,11,Franz Wagner,5508720.00,,11,Nikola Jović,2352000.00,,11,Nikola Jović,2352000.00,,11,Jordan McLaughlin,2320000.00,,11,Ousmane Dieng,4798440.00,,11,Vlatko Čančar,2234359.00,,11,Dalano Banton,2019706.00,,11,Omer Yurtseven,2800000.00,,11,Jaxson Hayes,2165000.00,,11,Kobe Brown,2413320.00,,11,Dario Šarić,2019706.00,,11,David Roddy,2718240.00,,11,Robin Lopez,2019706.00,,11,Derrick Rose,3196448.00,,11,Naji Marshall,1930681.00,,11,Alperen Sengun,3536280.00,,11,Devin Vassell,5887899.00,,11,Olivier-Maxence Prosper,2733720.00
14,Dallas Mavericks*,26.5,50,32,46,36,2.21,0.09,2.3,117.6,115.4,2.2,100.1,0.251,0.441,0.592,,12,Xavier Tillman,1930681.00,,12.00,Day'Ron Sharpe,2210040.00,,12.00,Ochai Agbaji,4114200.00,,12.00,Montrezl Harrell,2019706.00,,12.00,Jericho Sims,1927896.00,,12.00,Dalen Terry,3350760.00,,12.00,Ty Jerome,2439025.00,,12.00,Danuel House,4310250.00,,12.00,Jalen Smith,5043773.00,,12.00,A.J. Green,1901769.00,,12,Tristan Vukcevic,2424892.00,,12.00,Bruno Fernando,2581522.00,,12,Chuma Okeke,5266713.00,,12,Haywood Highsmith,1902137.00,,12,Haywood Highsmith,1902137.00,,12,Leonard Miller,1800000.00,,12,Jalen Williams,4558680.00,,12,DeAndre Jordan,2019706.00,,12,Moses Brown,2019706.00,,12,Kris Dunn,2586665.00,,12,Cam Reddish,2165000.00,,12,Bones Hyland,2306400.00,,12,Trayce Jackson-Davis,1119563.00,,12,Damion Lee,2528233.00,,12,JaVale McGee,2019706.00,,12,Josh Christopher,2485200.00,,12,Jose Alvarado,1836096.00,,12,Tari Eason,3527160.00,,12,Jeremy Sochan,5316960.00,,12,JaVale McGee,2348324.00
