Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,
1,Boston Celtics*,28.2,64,18,66,16,11.34,-0.6,10.75,123.2,111.6,11.6,97.2,0.224,0.471,0.609,,Celtics,,,, Nets,,,,Raptors,,,,76ers,,,,Knicks,,,,Bulls,,,,Cavaliers,,,,Pistons,,,,Pacers,,,,Bucks,,,,Wizards,,,,Hawks,,,,Magic,,,,Heat,,,,Hornets,,,,Timberwolves,,,,Thunder,,,,Nuggets,,,,Trail Blazers,,,,Jazz,,,,Lakers,,,,,,,,Warriors,,,,Suns,,,,Kings,,,,Grizzlies,,,,Pelicans,,,,Rockets,,,,Spurs,,,,Mavericks,,
2,Oklahoma City Thunder*,23.4,57,25,58,24,7.41,-0.05,7.36,119.5,112.1,7.4,99.8,0.24,0.383,0.608,,Rk,Celtics,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary,,Rk,,Salary
3,Minnesota Timberwolves*,27.2,56,26,57,25,6.45,-0.07,6.39,115.6,109,6.6,97.1,0.27,0.384,0.594,,1,Jrue Holiday,"$36,861,707 ",,1,Ben Simmons,"$37,893,408 ",,1,RJ Barrett,"$23,883,929 ",,1,Joel Embiid,"$47,607,350 ",,1,Julius Randle,"$28,226,880 ",,1,Zach LaVine,"$40,064,220 ",,1,Darius Garland,"$34,005,250 ",,1,Joe Harris,"$19,928,571 ",,1,Pascal Siakam,"$37,893,408 ",,1,Giannis Antetokounmpo,"$45,640,084 ",,1,Jordan Poole,"$27,455,357 ",,1,Trae Young,"$40,064,220 ",,1,Jonathan Isaac,"$17,400,000 ",,1,Jimmy Butler,"$45,183,960 ",,1,Jimmy Butler,"$45,183,960 ",,1,Rudy Gobert,"$41,000,000 ",,1,Shai Gilgeous-Alexander,"$33,386,850 ",,1,Nikola Jokić,"$47,607,350 ",,1,Deandre Ayton,"$32,459,438 ",,1,John Collins,"$25,340,000 ",,1,LeBron James,"$47,607,350 ",,1,Kawhi Leonard,"$45,640,084 ",,1,Stephen Curry,"$51,915,615 ",,1,Kevin Durant,"$47,649,433 ",,1,De'Aaron Fox,"$32,600,060 ",,1,Ja Morant,"$34,005,250 ",,1,CJ McCollum,"$35,802,469 ",,1,Fred VanVleet,"$40,806,300 ",,1,Keldon Johnson,"$20,000,000 ",,1,Luka Dončić,"$40,064,220 "
4,Denver Nuggets*,27.1,57,25,54,28,5.26,-0.03,5.23,118.5,113,5.5,96.8,0.224,0.352,0.589,,2,Kristaps Porziņģis,"$36,016,200 ",,2,Cameron Johnson,"$25,679,348 ",,2,Bruce Brown,"$22,000,000 ",,2,Tobias Harris,"$39,270,150 ",,2,Jalen Brunson,"$26,346,666 ",,2,DeMar DeRozan,"$28,600,000 ",,2,Donovan Mitchell,"$33,162,030 ",,2,Evan Fournier,"$18,857,143 ",,2,Myles Turner,"$20,975,000 ",,2,Damian Lillard,"$45,640,084 ",,2,Kyle Kuzma,"$25,568,182 ",,2,Clint Capela,"$20,616,000 ",,2,Markelle Fultz,"$17,000,000 ",,2,Bam Adebayo,"$32,600,060 ",,2,Bam Adebayo,"$32,600,060 ",,2,Karl-Anthony Towns,"$36,016,200 ",,2,Gordon Hayward,"$33,319,397 ",,2,Jamal Murray,"$33,833,400 ",,2,Jerami Grant,"$27,586,207 ",,2,Jordan Clarkson,"$23,487,629 ",,2,Anthony Davis,"$40,600,080 ",,2,Paul George,"$45,640,084 ",,2,Klay Thompson,"$43,219,440 ",,2,Bradley Beal,"$46,741,590 ",,2,Domantas Sabonis,"$30,600,000 ",,2,Jaren Jackson,"$27,102,202 ",,2,Zion Williamson,"$34,005,250 ",,2,Dillon Brooks,"$22,627,671 ",,2,Marcus Morris,"$17,116,279 ",,2,Kyrie Irving,"$37,037,037 "
5,New York Knicks*,26.4,50,32,53,29,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,,3,Jayson Tatum,"$32,600,060 ",,3,Mikal Bridges,"$21,700,000 ",,3,Spencer Dinwiddie,"$20,357,143 ",,3,Buddy Hield,"$19,845,098 ",,3,Bojan Bogdanović,"$20,000,000 ",,3,Lonzo Ball,"$20,465,117 ",,3,Jarrett Allen,"$20,000,000 ",,3,James Wiseman,"$12,119,440 ",,3,Doug McDermott,"$13,750,000 ",,3,Khris Middleton,"$29,320,988 ",,3,Tyus Jones,"$14,000,000 ",,3,De'Andre Hunter,"$20,089,286 ",,3,Wendell Carter,"$13,050,000 ",,3,Tyler Herro,"$27,000,000 ",,3,Tyler Herro,"$27,000,000 ",,3,Mike Conley,"$24,360,000 ",,3,Kevin Porter,"$15,860,000 ",,3,Michael Porter,"$33,386,850 ",,3,Anfernee Simons,"$24,107,143 ",,3,Collin Sexton,"$17,325,000 ",,3,D'Angelo Russell,"$17,307,693 ",,3,James Harden,"$35,680,595 ",,3,Chris Paul,"$30,800,000 ",,3,Devin Booker,"$36,016,200 ",,3,Harrison Barnes,"$17,000,000 ",,3,Marcus Smart,"$18,833,713 ",,3,Brandon Ingram,"$33,833,400 ",,3,Steven Adams,"$12,600,000 ",,3,Victor Wembanyama,"$12,160,680 ",,3,Tim Hardaway,"$17,897,728 "
6,New Orleans Pelicans*,26,49,33,52,30,4.41,0.05,4.46,117.4,112.9,4.5,97.9,0.261,0.373,0.591,,4,Jaylen Brown,"$31,830,357 ",,4,Dorian Finney-Smith,"$13,932,008 ",,4,Jakob Poeltl,"$19,500,000 ",,4,Nicolas Batum,"$11,710,818 ",,4,OG Anunoby,"$18,642,857 ",,4,Nikola Vučević,"$18,518,519 ",,4,Caris LeVert,"$15,384,616 ",,4,Cade Cunningham,"$11,055,360 ",,4,T.J. McConnell,"$8,700,000 ",,4,Brook Lopez,"$25,000,000 ",,4,Marvin Bagley,"$12,500,000 ",,4,Bogdan Bogdanović,"$18,700,000 ",,4,Gary Harris,"$13,000,000 ",,4,Terry Rozier,"$23,205,221 ",,4,Terry Rozier,"$23,205,221 ",,4,Anthony Edwards,"$13,534,817 ",,4,Luguentz Dort,"$15,277,778 ",,4,Aaron Gordon,"$22,266,182 ",,4,Malcolm Brogdon,"$22,500,000 ",,4,Lauri Markkanen,"$17,259,999 ",,4,Rui Hachimura,"$15,740,741 ",,4,Norman Powell,"$18,000,000 ",,4,Andrew Wiggins,"$24,330,357 ",,4,Jusuf Nurkić,"$16,875,000 ",,4,Kevin Huerter,"$15,669,643 ",,4,Luke Kennard,"$14,763,636 ",,4,Jonas Valančiūnas,"$15,435,000 ",,4,Jalen Green,"$9,891,480 ",,4,Devonte' Graham,"$12,100,000 ",,4,P.J. Washington,"$16,847,826 "
7,Los Angeles Clippers*,30.4,51,31,49,33,3.28,0.13,3.41,118.8,115.4,3.4,97.2,0.256,0.383,0.599,,5,Derrick White,"$18,357,143 ",,5,Dennis Schröder,"$12,405,000 ",,5,Gary Trent,"$18,560,000 ",,5,Robert Covington,"$11,692,308 ",,5,Mitchell Robinson,"$15,681,818 ",,5,Coby White,"$11,111,111 ",,5,Max Strus,"$14,487,684 ",,5,Ausar Thompson,"$7,977,480 ",,5,Daniel Theis,"$6,928,876 ",,5,Bobby Portis,"$11,710,818 ",,5,Richaun Holmes,"$12,046,020 ",,5,Dejounte Murray,"$18,214,000 ",,5,Paolo Banchero,"$11,608,080 ",,5,Duncan Robinson,"$18,154,000 ",,5,Duncan Robinson,"$18,154,000 ",,5,Naz Reid,"$12,950,400 ",,5,Chet Holmgren,"$10,386,000 ",,5,Kentavious Caldwell-Pope,"$14,704,938 ",,5,Robert Williams,"$11,571,429 ",,5,Talen Horton-Tucker,"$11,020,000 ",,5,Austin Reaves,"$12,015,150 ",,5,P.J. Tucker,"$11,014,500 ",,5,Draymond Green,"$22,321,429 ",,5,Royce O'Neale,"$9,500,000 ",,5,Malik Monk,"$9,945,830 ",,5,Brandon Clarke,"$12,500,000 ",,5,Herbert Jones,"$12,015,150 ",,5,Jeff Green,"$9,600,000 ",,5,Reggie Bullock,"$11,014,080 ",,5,Daniel Gafford,"$12,402,000 "
8,Philadelphia 76ers*,28.4,47,35,49,33,3.05,-0.54,2.51,116.9,113.8,3.1,97.5,0.264,0.373,0.574,,6,Al Horford,"$10,000,000 ",,6,Nic Claxton,"$9,625,000 ",,6,Kelly Olynyk,"$12,195,122 ",,6,De'Anthony Melton,"$8,000,000 ",,6,Josh Hart,"$12,960,000 ",,6,Patrick Williams,"$9,835,881 ",,6,Isaac Okoro,"$8,920,795 ",,6,Jaden Ivey,"$7,614,480 ",,6,Bennedict Mathurin,"$6,916,080 ",,6,Pat Connaughton,"$9,423,869 ",,6,Landry Shamet,"$10,250,000 ",,6,Onyeka Okongwu,"$8,109,063 ",,6,Joe Ingles,"$11,000,000 ",,6,Caleb Martin,"$6,802,950 ",,6,Caleb Martin,"$6,802,950 ",,6,Monte Morris,"$9,800,926 ",,6,Josh Giddey,"$6,587,040 ",,6,Reggie Jackson,"$5,000,000 ",,6,Matisse Thybulle,"$10,500,000 ",,6,Otto Porter,"$6,300,000 ",,6,Gabe Vincent,"$10,500,000 ",,6,Ivica Zubac,"$10,933,333 ",,6,Gary Payton,"$8,715,000 ",,6,Grayson Allen,"$8,925,000 ",,6,Keegan Murray,"$8,409,000 ",,6,Victor Oladipo,"$9,450,000 ",,6,Larry Nance,"$10,375,000 ",,6,Jabari Smith,"$9,326,520 ",,6,Tre Jones,"$9,895,833 ",,6,Maxi Kleber,"$11,000,000 "
9,Phoenix Suns*,29.3,49,33,49,33,3.06,0.02,3.08,117.6,114.6,3,98.3,0.271,0.378,0.603,,7,Payton Pritchard,"$4,037,277 ",,7,Thaddeus Young,"$8,000,000 ",,7,Chris Boucher,"$11,750,000 ",,7,Paul Reed,"$7,723,000 ",,7,Donte DiVincenzo,"$10,900,000 ",,7,Alex Caruso,"$9,460,000 ",,7,Evan Mobley,"$8,882,640 ",,7,Killian Hayes,"$7,413,955 ",,7,Obi Toppin,"$6,803,012 ",,7,MarJon Beauchamp,"$2,609,400 ",,7,Delon Wright,"$8,195,122 ",,7,Patty Mills,"$6,802,950 ",,7,Moritz Wagner,"$8,000,000 ",,7,Kevin Love,"$3,835,738 ",,7,Kevin Love,"$3,835,738 ",,7,Kyle Anderson,"$9,219,512 ",,7,Rudy Gay,"$6,479,000 ",,7,Zeke Nnaji,"$4,306,281 ",,7,Scoot Henderson,"$9,770,880 ",,7,Kira Lewis,"$5,722,116 ",,7,Jarred Vanderbilt,"$4,698,000 ",,7,Terance Mann,"$10,576,923 ",,7,Kevon Looney,"$7,500,000 ",,7,Nassir Little,"$6,250,000 ",,7,Trey Lyles,"$8,000,000 ",,7,Bismack Biyombo,"$5,000,000 ",,7,Dyson Daniels,"$5,784,120 ",,7,Amen Thompson,"$8,809,320 ",,7,Zach Collins,"$7,700,000 ",,7,Dereck Lively,"$4,775,640 "
10,Indiana Pacers*,25.3,47,35,48,34,3.05,-0.3,2.75,121,118,3,101.7,0.222,0.38,0.606,,8,Luke Kornet,"$2,413,304 ",,8,Noah Clowney,"$3,089,520 ",,8,Scottie Barnes,"$8,008,680 ",,8,Tyrese Maxey,"$4,343,920 ",,8,Alec Burks,"$10,489,600 ",,8,Ayo Dosunmu,"$6,481,482 ",,8,Georges Niang,"$8,800,000 ",,8,Danilo Gallinari,"$6,802,950 ",,8,Jarace Walker,"$6,059,520 ",,8,Malik Beasley,"$2,019,706 ",,8,Bilal Coulibaly,"$6,614,280 ",,8,Saddiq Bey,"$4,556,983 ",,8,Jalen Suggs,"$7,252,080 ",,8,Jaime Jaquez,"$3,510,600 ",,8,Jaime Jaquez,"$3,510,600 ",,8,Nickeil Alexander-Walker,"$4,687,500 ",,8,Kenrich Williams,"$6,175,000 ",,8,Christian Braun,"$2,949,120 ",,8,Shaedon Sharpe,"$6,313,800 ",,8,Taylor Hendricks,"$5,569,920 ",,8,Taurean Prince,"$4,516,000 ",,8,Mason Plumlee,"$5,000,000 ",,8,Jonathan Kuminga,"$6,012,840 ",,8,Eric Gordon,"$3,196,448 ",,8,Aleksandar Vezenkov,"$6,341,464 ",,8,Ziaire Williams,"$4,810,200 ",,8,Jordan Hawkins,"$4,310,160 ",,8,Jock Landale,"$8,000,000 ",,8,Khem Birch,"$6,985,000 ",,8,Josh Green,"$4,765,339 "
11,Golden State Warriors,28.4,46,36,47,35,2.61,0.16,2.77,117.8,115.2,2.6,99.2,0.219,0.425,0.586,,9,Jaden Springer,"$2,226,240 ",,9,Dariq Miller-Whitehead,"$2,966,040 ",,9,Gradey Dick,"$4,536,720 ",,9,Kyle Lowry,"$2,795,839 ",,9,Isaiah Hartenstein,"$9,245,121 ",,9,Jevon Carter,"$6,190,476 ",,9,Dean Wade,"$5,709,877 ",,9,Isaiah Stewart,"$5,266,713 ",,9,Tyrese Haliburton,"$5,808,435 ",,9,Thanasis Antetokounmpo,"$2,019,706 ",,9,Deni Avdija,"$6,263,188 ",,9,Kobe Bufkin,"$4,094,280 ",,9,Anthony Black,"$7,245,480 ",,9,Josh Richardson,"$2,891,467 ",,9,Josh Richardson,"$2,891,467 ",,9,Jaden McDaniels,"$3,901,399 ",,9,Cason Wallace,"$5,291,400 ",,9,Julian Strawther,"$2,431,080 ",,9,Kris Murray,"$2,847,480 ",,9,Keyonte George,"$3,889,800 ",,9,Jalen Hood-Schifino,"$3,695,040 ",,9,Russell Westbrook,"$3,835,738 ",,9,Moses Moody,"$3,918,480 ",,9,Josh Okogie,"$2,815,937 ",,9,Davion Mitchell,"$5,063,640 ",,9,Desmond Bane,"$3,845,083 ",,9,Trey Murphy,"$3,359,280 ",,9,John Wall,"$6,802,950 ",,9,Cedi Osman,"$6,718,842 ",,9,Dwight Powell,"$4,000,000 "
12,Milwaukee Bucks*,30.2,49,33,47,35,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,,10,Oshae Brissett,"$2,165,000 ",,10,Keita Bates-Diop,"$2,346,614 ",,10,Jalen McDaniels,"$4,516,000 ",,10,Jeff Dowtin,"$2,196,970 ",,10,Precious Achiuwa,"$4,379,527 ",,10,Derrick Jones,"$3,360,000 ",,10,Ricky Rubio,"$3,695,311 ",,10,Shake Milton,"$5,000,000 ",,10,Aaron Nesmith,"$5,634,257 ",,10,Jae Crowder,"$2,019,706 ",,10,Johnny Davis,"$5,050,800 ",,10,AJ Griffin,"$3,712,920 ",,10,Cole Anthony,"$5,539,771 ",,10,Thomas Bryant,"$2,528,233 ",,10,Thomas Bryant,"$2,528,233 ",,10,Wendell Moore,"$2,421,720 ",,10,Aleksej Pokusevski,"$5,009,633 ",,10,Peyton Watson,"$2,303,520 ",,10,Andrew Nicholson,"$2,844,430 ",,10,Walker Kessler,"$2,831,160 ",,10,Christian Wood,"$2,709,849 ",,10,Amir Coffey,"$3,666,667 ",,10,Brandin Podziemski,"$3,352,440 ",,10,Keon Johnson,"$2,808,720 ",,10,Chris Duarte,"$4,124,400 ",,10,Jake LaRavia,"$3,199,920 ",,10,Cody Zeller,"$2,019,706 ",,10,Jae'Sean Tate,"$6,500,000 ",,10,Cameron Payne,"$6,500,000 ",,10,Dante Exum,"$3,000,000 "
13,Cleveland Cavaliers*,26.2,48,34,47,35,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,,11,Svi Mykhailiuk,"$2,019,706 ",,11,Cam Thomas,"$2,240,160 ",,11,Immanuel Quickley,"$4,171,548 ",,11,Mohamed Bamba,"$2,019,706 ",,11,Dylan Windler,"$2,019,706 ",,11,Andre Drummond,"$3,360,000 ",,11,Damian Jones,"$2,586,665 ",,11,Jalen Duren,"$4,330,680 ",,11,Furkan Korkmaz,"$5,370,370 ",,11,Patrick Beverley,"$2,019,706 ",,11,Corey Kispert,"$3,722,040 ",,11,Jalen Johnson,"$2,925,360 ",,11,Franz Wagner,"$5,508,720 ",,11,Nikola Jović,"$2,352,000 ",,11,Nikola Jović,"$2,352,000 ",,11,Jordan McLaughlin,"$2,320,000 ",,11,Ousmane Dieng,"$4,798,440 ",,11,Vlatko Čančar,"$2,234,359 ",,11,Dalano Banton,"$2,019,706 ",,11,Omer Yurtseven,"$2,800,000 ",,11,Jaxson Hayes,"$2,165,000 ",,11,Kobe Brown,"$2,413,320 ",,11,Dario Šarić,"$2,019,706 ",,11,David Roddy,"$2,718,240 ",,11,Robin Lopez,"$2,019,706 ",,11,Derrick Rose,"$3,196,448 ",,11,Naji Marshall,"$1,930,681 ",,11,Alperen Sengun,"$3,536,280 ",,11,Devin Vassell,"$5,887,899 ",,11,Olivier-Maxence Prosper,"$2,733,720 "
14,Dallas Mavericks*,26.5,50,32,46,36,2.21,0.09,2.3,117.6,115.4,2.2,100.1,0.251,0.441,0.592,,12,Xavier Tillman,"$1,930,681 ",,12,Day'Ron Sharpe,"$2,210,040 ",,12,Ochai Agbaji,"$4,114,200 ",,12,Montrezl Harrell,"$2,019,706 ",,12,Jericho Sims,"$1,927,896 ",,12,Dalen Terry,"$3,350,760 ",,12,Ty Jerome,"$2,439,025 ",,12,Danuel House,"$4,310,250 ",,12,Jalen Smith,"$5,043,773 ",,12,A.J. Green,"$1,901,769 ",,12,Tristan Vukcevic,"$2,424,892 ",,12,Bruno Fernando,"$2,581,522 ",,12,Chuma Okeke,"$5,266,713 ",,12,Haywood Highsmith,"$1,902,137 ",,12,Haywood Highsmith,"$1,902,137 ",,12,Leonard Miller,"$1,800,000 ",,12,Jalen Williams,"$4,558,680 ",,12,DeAndre Jordan,"$2,019,706 ",,12,Moses Brown,"$2,019,706 ",,12,Kris Dunn,"$2,586,665 ",,12,Cam Reddish,"$2,165,000 ",,12,Bones Hyland,"$2,306,400 ",,12,Trayce Jackson-Davis,"$1,119,563 ",,12,Damion Lee,"$2,528,233 ",,12,JaVale McGee,"$2,019,706 ",,12,Josh Christopher,"$2,485,200 ",,12,Jose Alvarado,"$1,836,096 ",,12,Tari Eason,"$3,527,160 ",,12,Jeremy Sochan,"$5,316,960 ",,12,JaVale McGee,"$2,348,324 "
